Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  5.41      0.02     0.02  5000052     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, false>::_S_base(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  5.41      0.04     0.02  2500026     0.00     0.00  double* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*, double>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*, std::allocator<double>&)
  4.06      0.06     0.02 12548221     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  4.06      0.07     0.02  3000024     0.00     0.00  bool __gnu_cxx::operator!=<std::vector<double, std::allocator<double> > const*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >(__gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> > const*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> > const*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > const&)
  4.06      0.09     0.02  2500041     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  4.06      0.10     0.02  2500033     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  4.06      0.12     0.02  2500033     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  2.70      0.13     0.01 12548256     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  2.70      0.14     0.01  5000075     0.00     0.00  std::allocator<double>::~allocator()
  2.70      0.15     0.01  5000068     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  2.70      0.16     0.01  5000059     0.00     0.00  std::vector<double, std::allocator<double> >* std::__addressof<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >&)
  2.70      0.17     0.01  5000052     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, true>::_S_base(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  2.70      0.18     0.01  2500041     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  2.70      0.19     0.01  2500041     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  2.70      0.20     0.01  2500033     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  2.70      0.21     0.01  2500033     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  2.70      0.22     0.01  2500026     0.00     0.00  std::vector<double, std::allocator<double> >::begin() const
  2.70      0.23     0.01  2500026     0.00     0.00  std::allocator<double> const std::allocator_traits<std::allocator<double> >::_S_select<std::allocator<double> const, void>(std::allocator<double> const&, ...)
  2.70      0.24     0.01  2500026     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  2.70      0.25     0.01  2500026     0.00     0.00  std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&)
  2.70      0.26     0.01  2500026     0.00     0.00  double* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  2.70      0.27     0.01  2500020     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> > const*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >::operator*() const
  2.70      0.28     0.01  2500020     0.00     0.00  void std::_Construct<std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> > const&>(std::vector<double, std::allocator<double> >*, std::vector<double, std::allocator<double> > const&)
  2.70      0.29     0.01  1000015     0.00     0.00  std::allocator<std::vector<double, std::allocator<double> > >::~allocator()
  2.70      0.30     0.01   500004     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::begin() const
  2.70      0.31     0.01   500004     0.00     0.00  std::_Vector_base<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_Vector_base(unsigned long, std::allocator<std::vector<double, std::allocator<double> > > const&)
  2.70      0.32     0.01   500004     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::vector(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > const&)
  2.70      0.33     0.01   500000     0.00     0.00  vangrancy(int, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >)
  1.35      0.33     0.01  2500041     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  1.35      0.34     0.01  2500033     0.00     0.00  std::_Niter_base<double*>::iterator_type std::__niter_base<double*>(double*)
  1.35      0.34     0.01  2500026     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double> >::_S_select_on_copy(std::allocator<double> const&)
  1.35      0.35     0.01  2500026     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
